African,European,Asian,name
0,0,0,Roy O. Disney
0,1,1,Neil Diamond
0,1,0,William Rose Benét
0,1,0,Daniel Kahneman
0,0,0,Lenny Kravitz
0,1,0,Thomas Wolfe
0,0,0,Brett Ratner
0,1,0,Stanley Ketchel
0,1,0,Conrad Hall
0,1,0,Henry Ward Beecher
0,1,0,Omar Bradley
0,1,0,Jacques Lipchitz
0,1,1,Alan Freed
0,1,0,Leonard Chess
0,1,0,Brittany Murphy
0,1,0,Matt Damon
0,1,0,Frankie Muniz
0,1,1,Dick Dale
0,1,0,Walter Cronkite
0,1,0,Tom Brokaw
0,1,0,Vito Antuofermo
0,1,0,Carla Howell
0,1,0,Rebecca Gratz
0,1,0,Kris Kristofferson
0,1,0,Johnny Mercer
0,1,1,F. Murray Abraham
0,1,0,Tom Hulce
0,1,0,James Woods
0,1,0,Trey Anastasio
0,1,0,Clarence Douglas Dillon
0,1,0,Stephen Breyer
0,1,0,Blu Cantrell
0,1,0,Pat Buchanan
0,1,0,Robert H. Jackson
0,1,0,Gloria Estefan
0,1,0,Peggy Guggenheim
0,1,1,Lisa Kudrow
0,1,0,Benjamin Guggenheim
0,0,0,Lani Guinier
0,1,0,Shirley Jones
0,1,0,Danny Bonaduce
0,1,0,Hedy Lamarr
0,1,0,Glen Campbell
0,1,0,Robert Downey Jr.
0,1,0,Pete Rademacher
1,0,0,Chris Rock
0,1,0,Sean Lennon
0,1,0,Ambrose Burnside
0,1,0,Horace Greeley
0,1,0,Winfield Scott Hancock
0,0,1,John E. Sununu
0,1,0,Ruth Chatterton
0,1,0,Louis Theroux
0,1,0,Paul Theroux
0,1,0,Jonathan Franzen
0,1,1,Larry Ellison
0,1,0,Janet Malcolm
0,1,0,Harold Lloyd
0,0,1,Elias James Corey
0,1,0,John Stark
0,1,0,John DeLorean
1,0,0,Erykah Badu
0,1,1,Norman Lear
0,1,0,Donald Johanson
0,1,0,Jeff Buckley
0,1,0,Edward G. Robinson
0,0,1,Skiz Fernando
0,1,0,Jean Paul Getty Sr.
0,0,0,Heather Locklear
0,1,0,Nancy Carroll
0,1,0,Hiram Johnson
0,1,0,William F. Friedman
0,1,0,Jerry Brown
0,1,0,John Malkovich
0,0,1,Iva Toguri D'Aquino
0,1,0,Berkeley Breathed
0,1,0,Nils Lofgren
0,1,0,Leon Czolgosz
0,1,0,Stephen Foster
0,1,0,Walter Camp
0,0,1,Dinesh D'Souza
1,0,0,Roberta Flack
0,1,0,Carly Simon
0,0,1,Clive Chin
0,0,0,Elizabeth Bishop
0,0,1,Kalpana Chawla
0,1,0,Jay Gould
0,1,0,Burt Reynolds
0,1,0,Ray Bolger
0,1,0,Joaquin Phoenix
0,1,0,Richard Bong
0,1,0,Andrew Grove
0,1,0,Nora Louise Kuzma
0,1,0,Newt Gingrich
0,1,0,Buddy Ebsen
0,1,0,Burt Bacharach
0,1,0,Henry Ford II
0,1,0,Natalie Clifford Barney
0,1,0,Harry Crosby
0,1,0,Roky Erickson
0,1,0,Karl Guthe Jansky
0,1,1,Alex Van Halen
0,1,0,Michael Anthony
0,0,1,Jhumpa Lahiri
0,1,0,Bruce Babbitt
0,1,0,Steve Buscemi
0,1,0,Morris Swadesh
0,1,0,Pierce Brosnan
0,1,0,Leif Garrett
0,1,1,Saul Alinsky
0,1,0,Patty Murray
0,1,0,Jean Arthur
0,1,0,Roger Avary
1,0,0,Andrew Young
0,1,0,Severo Ochoa
0,1,0,George Santayana
0,1,0,Mitchell Parish
0,1,0,Nelson Algren
1,0,0,Dave Matthews
0,1,0,Alec Baldwin
0,1,0,Daniel Baldwin
0,1,0,Stephen Baldwin
0,1,0,William Baldwin
0,1,0,Alcide Nunez
0,1,0,Mike Piazza
1,0,0,Chris Tucker
0,1,0,Mark Hoppus
0,1,0,June Havoc
0,1,0,Gypsy Rose Lee
0,1,0,Eddie Rickenbacker
0,1,0,Loretta Young
0,1,0,Billy Corgan
0,1,0,Susan Hayward
0,1,0,Erika Slezak
0,1,0,James Reavis
0,1,0,Joseph Pulitzer
0,1,0,Fifi D'Orsay
0,1,1,Maya Deren
0,0,0,Edward Everett Horton
0,0,1,Norah Jones
0,1,1,June Foray
0,1,0,Bernard Lewis
0,1,1,Ruth Bader Ginsburg
0,1,0,Clement Greenberg
0,0,0,Qubilah Shabazz
0,1,0,Nellie Bly
0,1,0,Hans Bethe
0,1,0,Ellen Burstyn
0,1,0,Robert Hanssen
0,1,0,David Bohm
0,1,0,John D. Rockefeller
0,1,0,William Rockefeller Jr.
0,1,0,Hal Linden
0,1,0,Shelley Winters
0,1,0,Edward Rutledge
0,1,0,Josiah Bartlett
0,1,0,Steven Bochco
0,1,0,Max Fleischer
0,1,0,Dennis Hastert
1,1,0,Moon Landrieu
1,0,0,Mary Landrieu
0,1,0,Nathaniel Bacon
0,1,0,Salmon P. Chase
0,1,0,Jeb Bush
0,0,1,Doug Flutie
1,0,0,Norman Mailer
0,1,0,Kent Hovind
0,0,1,Darren Flutie
0,1,0,Cristina Saralegui
0,1,0,Carroll Baker
0,1,0,Barbara Turner
0,1,0,Betty Grable
0,1,0,David Frum
0,1,0,Artie Shaw
0,1,0,George Akerlof
